"country","actor","total_revenue"
"Algeria","Chris Depp","4.99"
"Algeria","Jane Jackman","4.98"
"Algeria","Anne Cronyn","4.98"
"Algeria","Morgan Mcdormand","4.98"
"Algeria","Salma Nolte","4.98"
"Algeria","Penelope Monroe","3.99"
"Algeria","Natalie Hopkins","3.99"
"Algeria","James Pitt","3.98"
"Algeria","Grace Mostel","3.98"
"Algeria","Morgan Hopkins","3.98"
"Algeria","Sandra Kilmer","3.98"
"Algeria","Walter Torn","3.98"
"Algeria","Jayne Nolte","3.98"
"Algeria","Ewan Gooding","3.97"
"Algeria","Cuba Olivier","2.99"
"Algeria","Kenneth Hoffman","2.99"
"Algeria","Jennifer Davis","2.99"
"Algeria","Reese Kilmer","2.99"
"Algeria","Michael Bolger","2.99"
"Algeria","Jayne Silverstone","2.99"
"Algeria","Alan Dreyfuss","2.99"
"Algeria","Matthew Leigh","2.99"
"Algeria","Christian Neeson","2.99"
"Algeria","Bob Fawcett","2.99"
"Algeria","Christian Akroyd","2.99"
"Algeria","William Hackman","2.99"
"Algeria","Daryl Wahlberg","2.99"
"Algeria","Nick Wahlberg","2.99"
"Algeria","Mena Hopper","2.99"
"Algeria","Cuba Birch","2.98"
"Algeria","Harvey Hope","2.98"
"Algeria","Humphrey Willis","2.98"
"Algeria","Burt Posey","1.99"
"Algeria","Mena Temple","1.99"
"Algeria","Joe Swank","1.98"
"Algeria","Penelope Pinkett","0.99"
"Algeria","Meg Hawke","0.99"
"Algeria","Daryl Crawford","0.99"
"Algeria","Julia Zellweger","0.99"
"Algeria","Sandra Peck","0.99"
"Algeria","Vivien Bergen","0.99"
"American Samoa","Ellen Presley","9.98"
"American Samoa","Renee Ball","8.98"
"American Samoa","Sandra Kilmer","8.97"
"American Samoa","Julianne Dench","7.98"
"American Samoa","Woody Jolie","7.98"
"American Samoa","Jayne Neeson","7.98"
"American Samoa","Julia Mcqueen","7.98"
"American Samoa","Christian Gable","6.98"
"American Samoa","Ian Tandy","5.98"
"American Samoa","Cuba Birch","5.98"
"American Samoa","Mary Keitel","5.98"
"American Samoa","Kenneth Hoffman","4.99"
"American Samoa","Frances Tomei","4.99"
"American Samoa","Ben Harris","4.99"
"American Samoa","Cate Harris","4.99"
"American Samoa","Matthew Carrey","4.99"
"American Samoa","Penelope Monroe","4.99"
"American Samoa","Cameron Zellweger","4.99"
"American Samoa","Parker Goldberg","4.99"
"American Samoa","Ben Willis","4.99"
"American Samoa","Reese West","4.99"
"American Samoa","Julia Barrymore","4.99"
"American Samoa","Matthew Leigh","4.99"
"American Samoa","Jeff Silverstone","4.99"
"American Samoa","Bob Fawcett","4.99"
"American Samoa","Kirsten Paltrow","4.99"
"American Samoa","Ewan Gooding","4.99"
"American Samoa","Humphrey Willis","4.99"
"American Samoa","Burt Posey","4.99"
"American Samoa","Rip Winslet","4.99"
"American Samoa","Jayne Nolte","4.99"
"American Samoa","Charlize Dench","4.99"
"American Samoa","Morgan Williams","4.99"
"American Samoa","Kevin Garland","4.99"
"American Samoa","Warren Nolte","4.99"
"American Samoa","Emily Dee","4.99"
"American Samoa","Angela Hudson","4.99"
"American Samoa","Kevin Bloom","3.99"
"American Samoa","Judy Dean","3.99"
"American Samoa","Jada Ryder","3.99"
"American Samoa","Kenneth Paltrow","3.99"
"American Samoa","Russell Close","3.99"
"American Samoa","Gregory Gooding","3.99"
"American Samoa","Meryl Allen","3.98"
"American Samoa","Sidney Crowe","3.98"
"American Samoa","Renee Tracy","3.98"
"American Samoa","Milla Keitel","2.99"
"American Samoa","Fred Costner","2.99"
"American Samoa","Ed Chase","2.99"
"American Samoa","Bette Nicholson","2.99"
"American Samoa","Johnny Lollobrigida","2.99"
"American Samoa","Kirk Jovovich","2.99"
"American Samoa","Reese Kilmer","2.99"
"American Samoa","Fay Kilmer","2.99"
"American Samoa","Lisa Monroe","2.99"
"American Samoa","Greta Keitel","2.99"
"American Samoa","Adam Hopper","2.99"
"American Samoa","Meg Hawke","2.99"
"American Samoa","Scarlett Damon","1.98"
"American Samoa","Fay Winslet","0.99"
"American Samoa","Cameron Streep","0.99"
"American Samoa","Scarlett Bening","0.99"
"American Samoa","Kenneth Pesci","0.99"
"American Samoa","Gene Mckellen","0.99"
"American Samoa","Vivien Basinger","0.99"
"American Samoa","Natalie Hopkins","0.99"
"American Samoa","Gary Phoenix","0.99"
"American Samoa","Grace Mostel","0.99"
"American Samoa","James Pitt","0.99"
"American Samoa","Mae Hoffman","0.99"
"American Samoa","Alec Wayne","0.99"
"American Samoa","Val Bolger","0.99"
"American Samoa","Fay Wood","0.99"
"American Samoa","Ray Johansson","0.99"
"American Samoa","Daryl Crawford","0.99"
"American Samoa","Debbie Akroyd","0.99"
"American Samoa","Russell Temple","0.99"
"Angola","Jude Cruise","28.94"
"Angola","Reese Kilmer","22.95"
"Angola","Russell Temple","20.96"
"Angola","Tom Miranda","20.95"
"Angola","Gene Willis","15.97"
"Angola","Sidney Crowe","15.97"
"Angola","Frances Tomei","15.97"
"Angola","Gina Degeneres","15.97"
"Angola","Kenneth Torn","14.97"
"Angola","Christopher Berry","14.97"
"Angola","Julia Zellweger","13.98"
"Angola","Kirk Jovovich","13.98"
"Angola","Grace Mostel","13.97"
"Angola","Matthew Johansson","13.96"
"Angola","Groucho Williams","12.98"
"Angola","Woody Hoffman","12.98"
"Angola","Audrey Olivier","12.98"
"Angola","Cuba Olivier","12.98"
"Angola","Groucho Dunst","12.96"
"Angola","Morgan Williams","11.98"
"Angola","Michael Bolger","11.98"
"Angola","Warren Jackman","11.97"
"Angola","Julia Mcqueen","10.98"
"Angola","Kim Allen","10.98"
"Angola","Gregory Gooding","10.97"
"Angola","Kenneth Hoffman","10.96"
"Angola","Kevin Bloom","9.99"
"Angola","Rip Crawford","9.99"
"Angola","Renee Ball","9.98"
"Angola","Kevin Garland","9.98"
"Angola","Angela Hudson","9.98"
"Angola","Frances Day-Lewis","9.98"
"Angola","Jim Mostel","9.97"
"Angola","Vivien Basinger","9.97"
"Angola","Will Wilson","9.97"
"Angola","Val Bolger","9.97"
"Angola","Dan Torn","8.99"
"Angola","Cuba Birch","8.98"
"Angola","Henry Berry","8.98"
"Angola","Matthew Leigh","8.98"
"Angola","Helen Voight","8.98"
"Angola","Sissy Sobieski","8.98"
"Angola","Angelina Astaire","8.98"
"Angola","Christian Neeson","8.97"
"Angola","Cate Harris","8.96"
"Angola","Ray Johansson","7.99"
"Angola","Cuba Allen","7.99"
"Angola","Dustin Tautou","7.99"
"Angola","Al Garland","7.99"
"Angola","Meryl Gibson","7.98"
"Angola","Ed Guiness","7.98"
"Angola","Woody Jolie","7.98"
"Angola","Matthew Carrey","7.98"
"Angola","Ed Mansfield","7.98"
"Angola","Angela Witherspoon","7.98"
"Angola","Rip Winslet","7.98"
"Angola","Mena Hopper","7.98"
"Angola","Cameron Wray","6.99"
"Angola","Lucille Dee","6.98"
"Angola","Ian Tandy","6.98"
"Angola","Milla Keitel","6.98"
"Angola","Adam Hopper","5.99"
"Angola","Jada Ryder","5.99"
"Angola","Jon Chase","5.99"
"Angola","Albert Nolte","5.98"
"Angola","Whoopi Hurt","5.98"
"Angola","Cary Mcconaughey","5.98"
"Angola","Morgan Mcdormand","5.98"
"Angola","Gene Mckellen","5.98"
"Angola","Laura Brody","5.98"
"Angola","Debbie Akroyd","4.99"
"Angola","Dan Harris","4.99"
"Angola","Penelope Monroe","4.99"
"Angola","Bette Nicholson","4.99"
"Angola","Karl Berry","4.99"
"Angola","Ben Harris","4.99"
"Angola","Kenneth Pesci","4.99"
"Angola","Daryl Crawford","4.99"
"Angola","Greta Keitel","4.99"
"Angola","Carmen Hunt","4.98"
"Angola","Sean Williams","4.98"
"Angola","Geoffrey Heston","3.99"
"Angola","Johnny Lollobrigida","3.99"
"Angola","Rock Dukakis","3.99"
"Angola","Warren Nolte","3.99"
"Angola","Olympia Pfeiffer","3.99"
"Angola","Cate Mcqueen","3.99"
"Angola","Jayne Silverstone","3.98"
"Angola","Salma Nolte","3.98"
"Angola","Sean Guiness","3.98"
"Angola","Walter Torn","3.98"
"Angola","Fay Winslet","3.98"
"Angola","Sandra Kilmer","3.98"
"Angola","Nick Stallone","3.98"
"Angola","Zero Cage","3.98"
"Angola","Burt Temple","2.99"
"Angola","Nick Degeneres","2.99"
"Angola","Mary Keitel","2.99"
"Angola","Jayne Nolte","2.99"
"Angola","John Suvari","2.99"
"Angola","Cameron Zellweger","2.99"
"Angola","Meg Hawke","2.99"
"Angola","Groucho Sinatra","2.99"
"Angola","Harvey Hope","2.99"
"Angola","Anne Cronyn","2.99"
"Angola","Mena Temple","2.99"
"Angola","Kirsten Akroyd","2.99"
"Angola","Mary Tandy","2.99"
"Angola","Russell Bacall","2.99"
"Angola","River Dean","2.99"
"Angola","Scarlett Damon","2.99"
"Angola","Gary Phoenix","2.99"
"Angola","Thora Temple","2.99"
"Angola","Alan Dreyfuss","2.99"
"Angola","Julia Barrymore","2.99"
"Angola","Milla Peck","2.99"
"Angola","Penelope Guiness","2.99"
"Angola","Lisa Monroe","2.99"
"Angola","Richard Penn","2.99"
"Angola","Reese West","2.98"
"Angola","Jeff Silverstone","1.99"
"Angola","Vivien Bergen","1.99"
"Angola","Morgan Hopkins","1.99"
"Angola","Chris Bridges","1.98"
"Angola","Uma Wood","1.98"
"Angola","Penelope Pinkett","1.98"
"Angola","Greg Chaplin","1.98"
"Angola","Penelope Cronyn","0.99"
"Angola","Ralph Cruz","0.99"
"Angola","Renee Tracy","0.99"
"Angola","Joe Swank","0.99"
"Angola","Laurence Bullock","0.99"
"Angola","Lucille Tracy","0.99"
"Angola","James Pitt","0.99"
"Angola","Elvis Marx","0.99"
"Angola","Adam Grant","0.99"
"Angola","Bob Fawcett","0.99"
"Angola","William Hackman","0.99"
"Angola","Susan Davis","0.99"
"Angola","Judy Dean","0.99"
"Angola","Ewan Gooding","0.99"
"Angola","Burt Dukakis","0.99"
"Angola","Oprah Kilmer","0.99"
"Angola","Ed Chase","0.99"
"Angola","Gene Hopkins","0.99"
"Angola","Gary Penn","0.99"
"Angola","Russell Close","0.99"
"Angola","Jane Jackman","0.99"
"Angola","Meryl Allen","0.99"
"Anguilla","Kenneth Torn","17.96"
"Anguilla","Milla Peck","12.97"
"Anguilla","Gregory Gooding","11.98"
"Anguilla","Matthew Carrey","11.96"
"Anguilla","Mary Tandy","10.97"
"Anguilla","Parker Goldberg","10.97"
"Anguilla","Gary Phoenix","10.97"
"Anguilla","Spencer Depp","9.98"
"Anguilla","Fred Costner","9.98"
"Anguilla","Greta Malden","9.98"
"Anguilla","Reese West","9.98"
"Anguilla","Ewan Gooding","9.96"
"Anguilla","Elvis Marx","8.99"
"Anguilla","Fay Wood","8.99"
"Anguilla","Scarlett Bening","8.99"
"Anguilla","Goldie Brody","8.98"
"Anguilla","Christopher Berry","8.97"
"Anguilla","Jim Mostel","7.98"
"Anguilla","Julia Mcqueen","7.98"
"Anguilla","Tim Hackman","7.98"
"Anguilla","Kevin Bloom","7.98"
"Anguilla","Nick Wahlberg","7.98"
"Anguilla","Julia Fawcett","6.98"
"Anguilla","Morgan Mcdormand","6.98"
"Anguilla","Cameron Wray","6.97"
"Anguilla","Morgan Hopkins","6.97"
"Anguilla","Olympia Pfeiffer","6.97"
"Anguilla","Julia Zellweger","5.98"
"Anguilla","Ben Harris","5.98"
"Anguilla","Mena Temple","5.98"
"Anguilla","Sylvester Dern","5.98"
"Anguilla","Vivien Basinger","5.98"
"Anguilla","Cary Mcconaughey","5.98"
"Anguilla","Angela Witherspoon","5.98"
"Anguilla","Uma Wood","5.98"
"Anguilla","Russell Bacall","5.98"
"Anguilla","Rip Winslet","5.98"
"Anguilla","Sandra Kilmer","5.98"
"Anguilla","Walter Torn","4.99"
"Anguilla","Ed Chase","4.99"
"Anguilla","Ralph Cruz","4.99"
"Anguilla","Nick Stallone","4.99"
"Anguilla","Greg Chaplin","4.99"
"Anguilla","Rip Crawford","4.99"
"Anguilla","Alec Wayne","4.99"
"Anguilla","Angelina Astaire","4.99"
"Anguilla","Charlize Dench","4.99"
"Anguilla","Sean Williams","4.99"
"Anguilla","Kirsten Akroyd","4.99"
"Anguilla","Dan Harris","4.99"
"Anguilla","Geoffrey Heston","4.99"
"Anguilla","Burt Temple","4.99"
"Anguilla","Humphrey Garland","4.99"
"Anguilla","Renee Tracy","4.99"
"Anguilla","Emily Dee","4.99"
"Anguilla","Harvey Hope","3.99"
"Anguilla","Sidney Crowe","3.98"
"Anguilla","Penelope Cronyn","3.98"
"Anguilla","Penelope Monroe","3.98"
"Anguilla","Cate Harris","3.98"
"Anguilla","Karl Berry","3.98"
"Anguilla","Jayne Neeson","3.98"
"Anguilla","Thora Temple","3.98"
"Anguilla","Natalie Hopkins","3.98"
"Anguilla","Ian Tandy","2.99"
"Anguilla","Chris Bridges","2.99"
"Anguilla","Lisa Monroe","2.99"
"Anguilla","Cameron Streep","2.99"
"Anguilla","Lucille Tracy","2.99"
"Anguilla","Kirsten Paltrow","2.99"
"Anguilla","Nick Degeneres","2.99"
"Anguilla","James Pitt","2.99"
"Anguilla","Jude Cruise","2.99"
"Anguilla","Gene Mckellen","2.99"
"Anguilla","Burt Dukakis","2.99"
"Anguilla","Ed Mansfield","2.99"
"Anguilla","Christian Gable","2.99"
"Anguilla","Mena Hopper","2.99"
"Anguilla","Minnie Kilmer","2.99"
"Anguilla","Russell Temple","2.99"
"Anguilla","Cuba Allen","2.99"
"Anguilla","Russell Close","2.99"
"Anguilla","Jada Ryder","2.99"
"Anguilla","Alan Dreyfuss","2.99"
"Anguilla","Scarlett Damon","2.99"
"Anguilla","Michael Bolger","1.99"
"Anguilla","Whoopi Hurt","1.99"
"Anguilla","Julianne Dench","1.99"
"Anguilla","Johnny Lollobrigida","1.99"
"Anguilla","Woody Hoffman","1.98"
"Anguilla","Salma Nolte","1.98"
"Anguilla","Jessica Bailey","1.98"
"Anguilla","Lucille Dee","0.99"
"Anguilla","Susan Davis","0.99"
"Anguilla","Ed Guiness","0.99"
"Anguilla","Spencer Peck","0.99"
"Anguilla","Penelope Pinkett","0.99"
"Anguilla","Gene Willis","0.99"
"Anguilla","Greta Keitel","0.99"
"Anguilla","Mae Hoffman","0.99"
"Anguilla","Kevin Garland","0.99"
"Anguilla","Matthew Leigh","0.99"
"Anguilla","Renee Ball","0.99"
"Anguilla","Meryl Gibson","0.99"
"Anguilla","Albert Johansson","0.99"
"Anguilla","Kirk Jovovich","0.99"
"Anguilla","Jodie Degeneres","0.99"
"Anguilla","Cameron Zellweger","0.99"
"Anguilla","Sandra Peck","0.99"
"Anguilla","Adam Hopper","0.99"
"Anguilla","Val Bolger","0.99"
"Anguilla","Morgan Williams","0.99"
"Anguilla","Kim Allen","0.99"
"Argentina","Whoopi Hurt","83.82"
"Argentina","Christian Akroyd","73.87"
"Argentina","Sandra Kilmer","71.86"
"Argentina","Scarlett Damon","66.86"
"Argentina","Ewan Gooding","64.88"
"Argentina","Reese Kilmer","63.82"
"Argentina","Fay Winslet","61.86"
"Argentina","Ed Guiness","59.86"
"Argentina","Sidney Crowe","59.86"
"Argentina","Reese West","59.85"
"Argentina","Woody Hoffman","59.84"
"Argentina","Jim Mostel","58.83"
"Argentina","Vivien Bergen","57.87"
"Argentina","Woody Jolie","57.86"
"Argentina","Mary Keitel","57.86"
"Argentina","Susan Davis","57.83"
"Argentina","Milla Keitel","56.89"
"Argentina","Chris Bridges","56.88"
"Argentina","Goldie Brody","55.90"
"Argentina","Gene Mckellen","55.89"
"Argentina","Kirsten Paltrow","54.89"
"Argentina","Groucho Dunst","54.88"
"Argentina","Tim Hackman","53.91"
"Argentina","William Hackman","53.90"
"Argentina","Kirsten Akroyd","52.91"
"Argentina","Humphrey Garland","52.91"
"Argentina","Gina Degeneres","52.89"
"Argentina","Warren Jackman","52.89"
"Argentina","Renee Tracy","51.89"
"Argentina","Ben Willis","51.89"
"Argentina","Spencer Peck","50.91"
"Argentina","Angela Hudson","50.89"
"Argentina","Parker Goldberg","50.89"
"Argentina","Julianne Dench","50.86"
"Argentina","Greta Malden","49.89"
"Argentina","Gregory Gooding","49.87"
"Argentina","Jada Ryder","48.87"
"Argentina","Milla Peck","47.91"
"Argentina","Michael Bening","47.87"
"Argentina","Burt Posey","46.92"
"Argentina","Russell Bacall","46.91"
"Argentina","Rock Dukakis","46.90"
"Argentina","Gary Phoenix","46.89"
"Argentina","Gary Penn","45.91"
"Argentina","Cuba Allen","45.91"
"Argentina","Frances Day-Lewis","45.89"
"Argentina","Chris Depp","45.88"
"Argentina","Jodie Degeneres","44.91"
"Argentina","Rip Crawford","44.89"
"Argentina","Mena Temple","44.88"
"Argentina","Groucho Williams","43.93"
"Argentina","Matthew Carrey","43.91"
"Argentina","Morgan Williams","43.90"
"Argentina","Henry Berry","42.89"
"Argentina","Groucho Sinatra","41.92"
"Argentina","Natalie Hopkins","41.89"
"Argentina","Val Bolger","41.89"
"Argentina","Penelope Monroe","40.91"
"Argentina","Spencer Depp","40.90"
"Argentina","Albert Johansson","40.89"
"Argentina","Ellen Presley","39.91"
"Argentina","Olympia Pfeiffer","39.89"
"Argentina","Christopher Berry","39.88"
"Argentina","Debbie Akroyd","39.86"
"Argentina","Lucille Dee","38.93"
"Argentina","Albert Nolte","38.92"
"Argentina","Walter Torn","38.90"
"Argentina","Ralph Cruz","38.89"
"Argentina","Russell Temple","38.88"
"Argentina","Laurence Bullock","38.88"
"Argentina","Ray Johansson","37.93"
"Argentina","Geoffrey Heston","37.92"
"Argentina","James Pitt","37.90"
"Argentina","Cameron Streep","37.90"
"Argentina","Michael Bolger","37.90"
"Argentina","Kim Allen","37.90"
"Argentina","Julia Mcqueen","37.89"
"Argentina","Meryl Gibson","37.89"
"Argentina","Mary Tandy","37.87"
"Argentina","Ed Mansfield","36.93"
"Argentina","Matthew Leigh","36.92"
"Argentina","Christian Neeson","36.92"
"Argentina","Daryl Wahlberg","36.92"
"Argentina","Uma Wood","36.92"
"Argentina","Penelope Pinkett","36.92"
"Argentina","Jane Jackman","36.91"
"Argentina","Dan Harris","36.90"
"Argentina","Gene Hopkins","35.94"
"Argentina","Greta Keitel","35.93"
"Argentina","Charlize Dench","35.92"
"Argentina","Angela Witherspoon","35.90"
"Argentina","Oprah Kilmer","35.90"
"Argentina","Dustin Tautou","34.91"
"Argentina","Julia Fawcett","33.92"
"Argentina","Ben Harris","33.92"
"Argentina","Burt Temple","33.91"
"Argentina","Kenneth Hoffman","33.90"
"Argentina","Vivien Basinger","33.88"
"Argentina","Thora Temple","32.94"
"Argentina","Ed Chase","32.92"
"Argentina","Anne Cronyn","32.92"
"Argentina","Kevin Garland","32.91"
"Argentina","Mae Hoffman","32.90"
"Argentina","Gene Willis","32.89"
"Argentina","River Dean","32.88"
"Argentina","Jayne Neeson","32.88"
"Argentina","Cameron Wray","31.93"
"Argentina","Bette Nicholson","31.93"
